model_id,expert_coherence_score,turker_coherence_score,expert_relevance_score,turker_relevance_score,expert_consistency_score,turker_consistency_score,expert_fluency_score,turker_fluency_score
M0,4.156666666666667,3.842,4.136666666666667,4.056,4.983333333333333,3.734,4.9366666666666665,3.764
M1,3.22,3.918,3.8166666666666664,4.098,4.98,3.888,4.8966666666666665,3.7739999999999996
M10,2.726666666666667,3.898,3.376666666666667,3.958,4.253333333333333,3.932,4.423333333333333,3.8160000000000003
M11,2.28,3.73,3.146666666666667,3.948,3.27,3.838,3.65,3.596
M12,3.5966666666666667,3.762,3.8466666666666667,3.926,4.96,3.838,4.846666666666667,3.716
M13,3.4433333333333334,3.766,3.833333333333333,3.872,4.82,3.7319999999999998,4.8566666666666665,3.5780000000000003
M14,3.1966666666666668,3.926,3.6333333333333333,4.078,4.8966666666666665,3.8339999999999996,4.743333333333333,3.79
M15,3.3466666666666667,3.78,3.6733333333333333,3.95,4.9366666666666665,3.762,4.803333333333333,3.734
M17,3.996666666666667,3.76,4.23,3.95,4.926666666666667,3.862,4.933333333333334,3.778
M2,3.276666666666667,3.804,3.81,3.912,4.99,3.86,4.83,3.662
M20,3.6333333333333333,3.7960000000000003,3.296666666666667,3.864,3.396666666666667,3.7939999999999996,3.97,3.762
M22,4.18,3.824,4.25,3.864,4.943333333333333,3.888,4.8966666666666665,3.758
M23,4.163333333333333,3.772,4.26,3.85,4.91,3.7560000000000002,4.88,3.718
M5,3.71,3.802,4.056666666666667,4.024,4.973333333333333,3.886,4.806666666666667,3.74
M8,3.29,3.832,3.546666666666667,3.952,4.653333333333333,3.8939999999999997,4.793333333333333,3.7319999999999998
M9,2.3833333333333333,3.77,3.52,3.952,4.673333333333333,3.656,4.5,3.532
