,result
0,4.0
1,3.3333333333333335
2,4.0
3,4.0
4,4.333333333333333
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.333333333333333
14,4.0
15,4.0
16,4.0
17,4.0
18,4.333333333333333
19,3.0
20,4.0
21,4.0
22,4.0
23,4.0
24,3.6666666666666665
25,2.3333333333333335
26,2.3333333333333335
27,3.6666666666666665
28,4.0
29,3.3333333333333335
30,4.0
31,4.666666666666667
32,4.0
33,4.0
34,4.0
35,4.0
36,4.0
37,3.0
38,4.0
39,3.6666666666666665
40,4.0
41,4.0
42,4.0
43,4.666666666666667
44,2.3333333333333335
45,4.0
46,5.0
47,4.0
48,4.0
49,4.0
50,2.6666666666666665
51,4.0
52,4.0
53,4.0
54,3.3333333333333335
55,3.6666666666666665
56,4.333333333333333
57,3.6666666666666665
58,4.0
59,3.6666666666666665
60,3.6666666666666665
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,4.0
67,4.0
68,4.0
69,4.0
70,3.6666666666666665
71,4.0
72,4.0
73,4.0
74,4.0
75,3.0
76,5.0
77,4.0
78,2.3333333333333335
79,4.0
80,4.0
81,4.0
82,4.0
83,4.0
84,4.0
85,4.0
86,4.666666666666667
87,4.0
88,4.0
89,4.0
90,4.0
91,3.3333333333333335
92,3.6666666666666665
93,4.0
94,4.0
95,4.0
96,4.0
97,4.0
98,4.333333333333333
99,4.0
