,result
0,2.0
1,2.0
2,2.0
3,2.0
4,4.333333333333333
5,3.6666666666666665
6,3.0
7,2.0
8,3.0
9,3.0
10,3.0
11,2.0
12,4.0
13,4.0
14,2.0
15,2.0
16,2.0
17,2.6666666666666665
18,2.6666666666666665
19,2.0
20,2.0
21,2.0
22,2.0
23,4.0
24,2.3333333333333335
25,2.6666666666666665
26,4.0
27,3.6666666666666665
28,2.0
29,1.6666666666666667
30,2.0
31,3.3333333333333335
32,2.6666666666666665
33,1.3333333333333333
34,2.0
35,2.0
36,2.0
37,2.0
38,1.3333333333333333
39,1.6666666666666667
40,4.0
41,2.3333333333333335
42,1.0
43,1.0
44,2.0
45,2.0
46,2.0
47,4.0
48,4.0
49,2.0
50,2.0
51,2.3333333333333335
52,1.6666666666666667
53,2.0
54,2.6666666666666665
55,4.0
56,4.0
57,4.0
58,2.3333333333333335
59,2.3333333333333335
60,2.0
61,1.3333333333333333
62,4.0
63,3.0
64,2.0
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,3.0
71,2.0
72,2.3333333333333335
73,2.0
74,2.3333333333333335
75,2.0
76,2.0
77,2.6666666666666665
78,1.0
79,4.0
80,4.0
81,4.0
82,3.3333333333333335
83,2.6666666666666665
84,2.3333333333333335
85,2.3333333333333335
86,3.0
87,2.0
88,2.0
89,3.0
90,2.3333333333333335
91,1.3333333333333333
92,2.6666666666666665
93,2.3333333333333335
94,2.3333333333333335
95,4.0
96,2.0
97,2.0
98,4.0
99,2.0
