,result
0,4.0
1,3.0
2,4.0
3,4.0
4,3.6666666666666665
5,4.0
6,3.6666666666666665
7,3.0
8,3.3333333333333335
9,4.0
10,3.3333333333333335
11,3.6666666666666665
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,4.0
19,2.3333333333333335
20,3.3333333333333335
21,3.6666666666666665
22,4.0
23,4.0
24,4.0
25,2.6666666666666665
26,4.0
27,3.3333333333333335
28,4.0
29,4.0
30,4.0
31,4.0
32,4.0
33,3.0
34,4.0
35,4.0
36,4.0
37,3.6666666666666665
38,4.0
39,4.0
40,4.0
41,4.0
42,3.6666666666666665
43,4.0
44,2.0
45,4.0
46,4.333333333333333
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,4.0
53,3.6666666666666665
54,3.0
55,4.0
56,4.0
57,4.0
58,4.0
59,2.6666666666666665
60,3.3333333333333335
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,4.0
67,4.0
68,4.0
69,4.0
70,4.0
71,4.0
72,4.0
73,4.0
74,4.0
75,3.6666666666666665
76,4.0
77,4.0
78,3.0
79,3.6666666666666665
80,4.0
81,4.0
82,4.0
83,4.0
84,2.3333333333333335
85,4.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,2.3333333333333335
92,3.6666666666666665
93,4.0
94,4.0
95,4.0
96,3.6666666666666665
97,3.3333333333333335
98,4.0
99,4.0
