,result
0,4.0
1,4.0
2,4.0
3,4.0
4,4.333333333333333
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.333333333333333
16,4.0
17,4.0
18,4.666666666666667
19,2.6666666666666665
20,4.0
21,4.0
22,5.0
23,4.333333333333333
24,4.0
25,3.3333333333333335
26,4.0
27,4.0
28,4.0
29,4.0
30,4.0
31,4.0
32,5.0
33,4.0
34,4.0
35,4.0
36,5.0
37,3.6666666666666665
38,4.666666666666667
39,4.0
40,4.333333333333333
41,4.0
42,4.333333333333333
43,4.0
44,3.0
45,4.333333333333333
46,5.0
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,4.0
53,4.0
54,3.6666666666666665
55,4.0
56,4.333333333333333
57,4.0
58,4.333333333333333
59,4.0
60,4.0
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,4.0
67,4.0
68,4.0
69,4.333333333333333
70,4.333333333333333
71,4.0
72,4.0
73,4.0
74,4.666666666666667
75,4.0
76,5.0
77,5.0
78,2.3333333333333335
79,4.0
80,4.0
81,4.333333333333333
82,3.3333333333333335
83,4.0
84,4.0
85,4.333333333333333
86,4.666666666666667
87,4.0
88,4.0
89,4.0
90,4.0
91,3.6666666666666665
92,4.0
93,4.333333333333333
94,4.0
95,4.0
96,4.666666666666667
97,4.0
98,4.666666666666667
99,4.0
