,result
0,4.0
1,4.0
2,4.0
3,2.0
4,2.0
5,4.333333333333333
6,4.0
7,4.0
8,2.6666666666666665
9,3.0
10,3.3333333333333335
11,2.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,2.0
22,2.0
23,4.333333333333333
24,4.0
25,2.0
26,4.0
27,4.0
28,2.0
29,3.3333333333333335
30,4.333333333333333
31,5.0
32,4.0
33,4.0
34,4.0
35,3.6666666666666665
36,2.0
37,4.0
38,4.333333333333333
39,3.3333333333333335
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,2.0
49,5.0
50,4.0
51,2.6666666666666665
52,4.333333333333333
53,4.666666666666667
54,2.0
55,4.0
56,2.0
57,4.0
58,4.0
59,4.0
60,4.333333333333333
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,4.333333333333333
67,4.333333333333333
68,4.0
69,4.0
70,2.0
71,3.3333333333333335
72,4.0
73,4.0
74,2.0
75,4.666666666666667
76,4.0
77,4.666666666666667
78,1.0
79,4.0
80,4.0
81,4.0
82,4.333333333333333
83,5.0
84,4.0
85,4.0
86,4.0
87,4.333333333333333
88,4.0
89,4.0
90,4.0
91,4.666666666666667
92,4.0
93,4.0
94,2.6666666666666665
95,5.0
96,1.0
97,2.6666666666666665
98,4.0
99,4.666666666666667
