,result
0,3.6666666666666665
1,4.0
2,4.0
3,2.0
4,4.666666666666667
5,4.0
6,4.333333333333333
7,2.0
8,4.0
9,2.6666666666666665
10,4.0
11,2.0
12,4.0
13,4.666666666666667
14,2.0
15,2.0
16,2.0
17,2.6666666666666665
18,3.0
19,2.0
20,3.6666666666666665
21,2.0
22,2.3333333333333335
23,4.0
24,2.3333333333333335
25,3.6666666666666665
26,4.0
27,4.0
28,2.0
29,1.0
30,3.3333333333333335
31,4.0
32,3.3333333333333335
33,1.3333333333333333
34,3.3333333333333335
35,2.0
36,2.0
37,4.0
38,1.0
39,1.6666666666666667
40,4.0
41,2.6666666666666665
42,1.3333333333333333
43,1.0
44,3.0
45,1.3333333333333333
46,2.0
47,4.0
48,4.0
49,2.0
50,2.0
51,4.0
52,2.0
53,2.0
54,2.3333333333333335
55,4.0
56,4.0
57,4.0
58,2.0
59,3.0
60,2.0
61,1.6666666666666667
62,4.333333333333333
63,4.0
64,2.0
65,2.0
66,2.0
67,1.6666666666666667
68,2.0
69,2.0
70,4.0
71,2.0
72,3.0
73,2.0
74,2.6666666666666665
75,2.0
76,2.0
77,3.3333333333333335
78,1.0
79,4.0
80,4.333333333333333
81,4.0
82,3.6666666666666665
83,4.333333333333333
84,3.3333333333333335
85,4.0
86,3.6666666666666665
87,2.0
88,2.0
89,4.0
90,4.0
91,1.0
92,3.3333333333333335
93,4.0
94,4.0
95,4.0
96,2.0
97,2.0
98,4.0
99,3.6666666666666665
