,result
0,3.6666666666666665
1,4.0
2,3.0
3,2.0
4,2.3333333333333335
5,4.0
6,4.0
7,4.0
8,2.3333333333333335
9,2.3333333333333335
10,2.0
11,2.6666666666666665
12,3.3333333333333335
13,2.6666666666666665
14,4.0
15,4.0
16,4.0
17,3.6666666666666665
18,4.0
19,4.0
20,4.0
21,2.3333333333333335
22,2.0
23,4.0
24,3.3333333333333335
25,3.3333333333333335
26,4.0
27,2.3333333333333335
28,2.3333333333333335
29,2.0
30,4.0
31,4.333333333333333
32,4.0
33,4.0
34,4.0
35,3.3333333333333335
36,2.0
37,4.0
38,4.0
39,3.0
40,4.0
41,4.0
42,4.0
43,3.3333333333333335
44,4.0
45,4.0
46,3.6666666666666665
47,2.0
48,2.0
49,4.333333333333333
50,3.6666666666666665
51,2.3333333333333335
52,4.0
53,4.0
54,2.3333333333333335
55,4.0
56,2.0
57,4.0
58,4.0
59,4.0
60,4.0
61,3.0
62,4.0
63,3.6666666666666665
64,3.6666666666666665
65,4.0
66,3.3333333333333335
67,4.0
68,2.3333333333333335
69,4.0
70,2.0
71,3.3333333333333335
72,4.0
73,4.0
74,2.0
75,4.0
76,4.0
77,4.0
78,1.0
79,3.6666666666666665
80,4.0
81,4.0
82,4.0
83,4.666666666666667
84,4.0
85,4.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,4.333333333333333
92,3.6666666666666665
93,4.0
94,2.0
95,4.0
96,1.0
97,2.3333333333333335
98,4.333333333333333
99,4.0
