,result
0,3.3333333333333335
1,4.0
2,3.0
3,1.6666666666666667
4,2.0
5,4.333333333333333
6,4.333333333333333
7,4.0
8,2.0
9,2.0
10,2.6666666666666665
11,2.0
12,3.0
13,2.6666666666666665
14,4.0
15,3.6666666666666665
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,2.0
22,2.0
23,4.0
24,3.6666666666666665
25,2.0
26,4.0
27,3.0
28,2.0
29,2.0
30,4.0
31,4.333333333333333
32,4.0
33,4.0
34,4.333333333333333
35,3.3333333333333335
36,2.3333333333333335
37,4.333333333333333
38,3.3333333333333335
39,3.0
40,4.0
41,4.333333333333333
42,4.0
43,2.6666666666666665
44,4.0
45,4.0
46,4.0
47,2.0
48,1.3333333333333333
49,5.0
50,2.6666666666666665
51,2.3333333333333335
52,4.0
53,4.0
54,2.3333333333333335
55,4.0
56,2.0
57,4.0
58,4.0
59,4.0
60,4.333333333333333
61,2.6666666666666665
62,4.333333333333333
63,4.0
64,4.0
65,4.0
66,4.333333333333333
67,4.0
68,2.0
69,4.0
70,2.0
71,3.3333333333333335
72,4.0
73,4.0
74,2.0
75,4.0
76,4.0
77,4.0
78,1.0
79,4.0
80,2.6666666666666665
81,4.0
82,4.333333333333333
83,4.666666666666667
84,4.0
85,3.3333333333333335
86,4.0
87,4.333333333333333
88,4.0
89,3.6666666666666665
90,4.0
91,4.333333333333333
92,3.3333333333333335
93,3.0
94,2.0
95,4.666666666666667
96,1.0
97,2.0
98,4.666666666666667
99,3.3333333333333335
