,result
0,2.0
1,2.0
2,2.0
3,2.0
4,5.0
5,3.0
6,2.3333333333333335
7,2.0
8,3.0
9,2.0
10,3.0
11,1.6666666666666667
12,4.0
13,4.0
14,2.0
15,2.0
16,2.0
17,2.3333333333333335
18,2.0
19,2.0
20,2.3333333333333335
21,2.0
22,2.0
23,4.0
24,2.0
25,3.6666666666666665
26,4.0
27,4.0
28,2.0
29,1.3333333333333333
30,2.0
31,2.0
32,3.3333333333333335
33,1.0
34,2.0
35,2.0
36,2.0
37,2.3333333333333335
38,1.3333333333333333
39,1.0
40,4.0
41,2.3333333333333335
42,1.0
43,1.0
44,2.0
45,1.6666666666666667
46,2.0
47,4.0
48,4.0
49,2.0
50,2.0
51,2.0
52,1.6666666666666667
53,2.0
54,2.0
55,4.0
56,3.6666666666666665
57,4.0
58,1.6666666666666667
59,2.3333333333333335
60,2.0
61,1.3333333333333333
62,4.0
63,2.0
64,1.6666666666666667
65,2.0
66,2.0
67,1.3333333333333333
68,2.0
69,2.0
70,2.0
71,2.0
72,2.3333333333333335
73,1.6666666666666667
74,2.0
75,2.0
76,1.6666666666666667
77,2.0
78,1.0
79,4.0
80,3.0
81,4.0
82,2.3333333333333335
83,2.3333333333333335
84,2.3333333333333335
85,2.0
86,2.0
87,2.0
88,2.0
89,2.6666666666666665
90,2.0
91,1.0
92,2.0
93,2.0
94,2.0
95,4.0
96,2.0
97,2.0
98,4.0
99,2.0
