,result
0,4.0
1,4.0
2,4.666666666666667
3,4.0
4,4.333333333333333
5,4.0
6,4.0
7,4.0
8,3.6666666666666665
9,4.0
10,4.0
11,4.0
12,4.0
13,5.0
14,4.0
15,4.333333333333333
16,4.0
17,4.666666666666667
18,4.666666666666667
19,3.0
20,3.6666666666666665
21,4.0
22,4.333333333333333
23,4.0
24,4.0
25,3.0
26,2.0
27,4.0
28,4.0
29,3.0
30,4.0
31,4.333333333333333
32,4.666666666666667
33,3.6666666666666665
34,4.0
35,4.333333333333333
36,4.666666666666667
37,3.3333333333333335
38,4.0
39,4.0
40,4.0
41,4.0
42,3.6666666666666665
43,4.333333333333333
44,3.0
45,4.0
46,5.0
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,4.0
53,4.0
54,3.0
55,4.0
56,4.0
57,4.0
58,4.0
59,2.3333333333333335
60,4.0
61,4.0
62,4.333333333333333
63,4.333333333333333
64,4.0
65,4.333333333333333
66,4.0
67,4.0
68,4.0
69,4.0
70,3.3333333333333335
71,4.0
72,4.0
73,4.0
74,4.0
75,2.6666666666666665
76,5.0
77,4.0
78,2.0
79,4.0
80,4.333333333333333
81,4.0
82,4.0
83,4.0
84,3.6666666666666665
85,4.0
86,5.0
87,4.0
88,4.333333333333333
89,4.0
90,4.0
91,3.3333333333333335
92,4.0
93,4.0
94,4.333333333333333
95,4.0
96,4.333333333333333
97,4.0
98,4.0
99,4.0
