,result
0,3.3333333333333335
1,3.6666666666666665
2,2.6666666666666665
3,2.0
4,2.0
5,4.0
6,4.0
7,3.0
8,2.6666666666666665
9,2.0
10,2.0
11,2.0
12,2.3333333333333335
13,2.0
14,4.0
15,3.3333333333333335
16,3.3333333333333335
17,4.0
18,4.0
19,4.0
20,4.0
21,2.0
22,2.0
23,4.0
24,3.0
25,2.0
26,2.3333333333333335
27,2.0
28,2.3333333333333335
29,2.0
30,4.0
31,4.0
32,3.0
33,3.0
34,4.0
35,2.0
36,2.0
37,4.0
38,2.0
39,3.0
40,4.0
41,4.0
42,4.0
43,2.3333333333333335
44,3.6666666666666665
45,3.6666666666666665
46,3.3333333333333335
47,2.0
48,1.6666666666666667
49,4.333333333333333
50,2.0
51,2.0
52,4.0
53,4.0
54,2.0
55,3.6666666666666665
56,2.0
57,4.0
58,2.3333333333333335
59,2.6666666666666665
60,4.0
61,2.6666666666666665
62,4.0
63,3.0
64,3.6666666666666665
65,3.3333333333333335
66,2.0
67,4.0
68,2.0
69,2.0
70,2.0
71,2.3333333333333335
72,4.0
73,4.0
74,2.0
75,4.0
76,4.0
77,3.3333333333333335
78,1.6666666666666667
79,3.0
80,2.3333333333333335
81,4.0
82,4.0
83,4.0
84,4.0
85,2.0
86,4.0
87,4.0
88,3.6666666666666665
89,3.3333333333333335
90,4.0
91,4.0
92,3.0
93,2.3333333333333335
94,2.0
95,4.0
96,1.0
97,2.0
98,4.0
99,2.0
