lp,src,mt,ref,score,raw,annotators,domain
en-tr,"For a good chunk of the team, these idle minutes constitute a midday break.","Takımın iyi bir parçası için, bu boş dakikalar gün ortası molasıdır.",Takımın önemli bir kısmı için bu boş dakikalar gün ortası molasını oluşturuyor.,-0.497569633701616,24.0,1,news
en-tr,The pound was 0.5% down at 1.31 US dollars and fell 0.4% to 1.11 euros.,"Pound, 1,31 ABD dolarına göre% 0,5 düşüş gösterdi ve% 0,4 düşüşle 1,11 avroya geriledi.","Pound %0,5 düşerek 1,31 ABD doları ve %0,4 düşerek 1,11 avro oldu.",0.976350874110724,88.0,1,news
en-tr,The answer of this question was hidden in one of Mehmet Görmez’s overseas trips.,Bu sorunun cevabı Mehmet Görmez'in yurtdışı gezilerinden birinde gizlendi.,Sorunun yanıtı Mehmet Görmez'in bir yurt dışı gezisinde saklıydı.,0.461946971288744,75.0,1,news
en-tr,"She shared the message ""Why was your death was required?""","""Ölüm neden gerekliydi?"" Mesajını paylaştı.","""Ne gerek vardı ki şimdi ölüme"" mesajını paylaştı.",0.892422457271084,94.0,1,news
en-tr,Republicans in Congress are pushing for a broader rewrite of the ozone rules.,Kongrede Cumhuriyetçiler ozon kurallarının daha geniş bir yeniden yazımı için bastırıyorlar.,Kongredeki Cumhuriyetçiler ozon kanunlarının daha geniş bir tekrar yazımı için baskı yapıyor.,1.39970341417945,99.0,1,news
en-tr,"However, the problems between those two countries are worrying us and naturally this causes investors to postpone their decisions somewhat more.","Ancak, bu iki ülke arasındaki sorunlar bizi endişelendiriyor ve doğal olarak bu durum yatırımcıların kararlarını bir miktar daha ertelemelerine neden oluyor.",Fakat bu iki ülke arasındaki problem bizi üzüyor ve haliyle yatırımcıların kararlarını biraz daha ertelemelerini sağlıyor.,1.06476251447995,87.0,1,news
en-tr,"It might have been a matter of borrowing or lending money, or some exchange of foul words.",Para ödünç verme ya da borç verme ya da bazı kötü kelimelerin alışverişi meselesi olabilirdi.,"Orada bir borç alma borç verme durumu, ya da küfürleşme olmuş olabilir.",-0.329443648437379,55.0,1,news
en-tr,Payments will be made through Social Aid Cards issued by the PTT.,Ödemeler PTT tarafından verilen Sosyal Yardım Kartları ile yapılacaktır.,Ödemeler PTT aracılığıyla sağlanacak Sosyal Yardım Kartları üzerinden yapılacak.,0.965081154418621,100.0,1,news
en-tr,"Best of luck to you.""","Sana iyi şanslar. ""","Sana iyi şanslar.""",1.4511852459464,100.0,1,news
en-tr,"And I think, like most Americans, we're all proud of the helicopter and other military equipment that so many Americans worked tirelessly to do.","Ve sanırım, çoğu Amerikalı gibi, birçok Amerikalı'nın yorulmadan çalıştığı helikopter ve diğer askeri ekipmanlarla gurur duyuyoruz.",Ve çoğu Amerikalı gibi birçok Amerikalı'nın yapmak için yorulmadan çalıştığı helikopter ve diğer askeri ekipmanlarla hepimizin gurur duyduğunu düşünüyorum.,0.541086033261356,77.0,1,news
en-tr,"From 2+1 rooms to 5+1 rooms, Dia Mare makes available various types of apartments.","2 + 1 odadan 5 + 1 odaya kadar Dia Mare, çeşitli tiplerde daireler sunmaktadır.",Dia Mare'de 2+1'den 5+1'e değişen çok sayıda daire tipi bulunuyor.,1.17419852904225,93.0,1,news
en-tr,Erfan had to think creatively to resolve the brief.,"Erfan, özeti çözmek için yaratıcı düşünmek zorundaydı.",Erfan meseleyi çözmek için yaratıcı bir şekilde düşünmeliydi.,0.645325959041558,60.0,1,news
en-tr,"In the tender, run under a model developed by the Ministry of Energy and Natural Resources as they seek to reduce foreign dependency and to move towards domestic energy sources, a world record was broken.","İhalede, dışa bağımlılığı azaltmak ve iç enerji kaynaklarına yönelmek amacıyla Enerji ve Tabii Kaynaklar Bakanlığı tarafından geliştirilen bir model altında çalışarak bir dünya rekoru kırıldı.",Enerji ve Tabii Kaynaklar Bakanlığı'nın dışa bağımlılığı azaltarak milli enerjiye geçişi sağlamak için kurguladığı modelle yapılan ihalede dünya rekoru kırıldı.,0.223876106711103,47.0,1,news
en-tr,"Despite that, and the fact that Valdez was intimately aware of the perils of his work, Ismail Bojorquez, 60, a co-founder and director of Riodoce, is wracked with guilt for failing to protect his friend.","Buna rağmen ve Valdez'in çalışmalarının tehlikelerini yakından fark etmesi gerçeği, Riodoce'un kurucusu ve yöneticisi olan İsmail Bojorquez 60 yaşındaki arkadaşını korumakta başarısız olduğu için suçluluk içinde.","Buna rağmen ve Valdez'in işinin tehlikelerinin derinlemesine farkında olmasına rağmen Riodoce'nin kurucu ortağı ve müdürü Ismail Bojorquez (60), arkadaşını korumakta başarısız olduğu için suçluluktan yıkılmış.",-0.172016693066975,62.0,1,news
